Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
AMS-3141,39a Saxen Weimarlaan 1075 BZ,52.35265,4.857429,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Saxen Weimarlaan,1075 BZ
AMS-3025,45-31 Trichtstraat 1107 PJ,52.29394,4.967899,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Trichtstraat,1107 PJ
AMS-3211,53 Vossiusstraat 1071 AJ,52.36017,4.877831,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Vossiusstraat,1071 AJ
AMS-3019,433 Kleiburg 1104 EA,52.31874,4.980072,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Kleiburg,1104 EA
AMS-3133,136V3 Tolstraat 1074 VM,52.35238,4.904768,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Tolstraat,1074 VM
AMS-2973,4 Abraham Kuyperstraat 1067 DE,52.3834,4.801888,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Abraham Kuyperstraat,1067 DE
AMS-2971,104 Pieter van der Werfstraat 1067 EP,52.38132,4.802567,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Pieter van der Werfstraat,1067 EP
AMS-2890,257II Ookmeerweg 1069 MT,52.36344,4.791111,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Ookmeerweg,1069 MT
AMS-2940,19III Schoonboomstraat 1069 BD,52.36212,4.791437,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Schoonboomstraat,1069 BD
AMS-3389,300 Brouwersgracht 1013 HG,52.38357,4.883079,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Brouwersgracht,1013 HG
AMS-2832,274 Maldenhof 1106 EZ,52.30265,4.966231,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Maldenhof,1106 EZ
AMS-3235,36h Valeriusstraat 1071 MJ,52.35514,4.871892,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Valeriusstraat,1071 MJ
AMS-3231,5I Johannes Verhulststraat 1071 MP,52.35569,4.877267,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Johannes Verhulststraat,1071 MP
AMS-3034,17HS Javaplein 1095 CH,52.36355,4.939533,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Javaplein,1095 CH
AMS-2824,79II Johannes Vermeerstraat 1071 DP,52.35678,4.884081,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Johannes Vermeerstraat,1071 DP
AMS-2834,2III Dufaystraat 1075 GT,52.35335,4.867944,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Dufaystraat,1075 GT
AMS-3310,33I Johan M. Coenenstraat 1071 WE,52.35156,4.880069,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Johan M. Coenenstraat,1071 WE
AMS-2816,151 Wethouder in Het Veldstraat 1107 BA,52.29352,4.993639,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Wethouder in Het Veldstraat,1107 BA
AMS-3333,276 Eerste Ringdijkstraat 1097 BC,52.34934,4.919544,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Eerste Ringdijkstraat,1097 BC
AMS-3116,8IV Koninginneweg 1075 CX,52.35504,4.867884,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Koninginneweg,1075 CX
AMS-3246,160I Willemsparkweg 1071 HS,52.35632,4.870699,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Willemsparkweg,1071 HS
AMS-3038,1570 s114 1087 MA,52.35142,5.001845,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,s114,1087 MA
AMS-2192,86 Willemsparkweg 1071 KL,52.35704,4.873984,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Willemsparkweg,1071 KL
AMS-2875,180HS Kruislaan 1098 SK,52.34839,4.941246,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Kruislaan,1098 SK
AMS-3519,10 Kiefskamp 1082 KA,52.33052,4.872328,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Kiefskamp,1082 KA
AMS-3356,141A Arent Janszoon Ernststraat 1083 GS,52.33177,4.88834,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Arent Janszoon Ernststraat,1083 GS
AMS-3318,99I Fahrenheitstraat 1097 PP,52.34453,4.92623,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Fahrenheitstraat,1097 PP
AMS-3263,521 Erich Salomonstraat 1087 GT,52.35617,4.998938,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Erich Salomonstraat,1087 GT
AMS-1084,86 Jan Vrijmanstraat 1087 MB,52.34908,5.003775,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jan Vrijmanstraat,1087 MB
AMS-3390,208C Brouwersgracht 1013 HD,52.38166,4.886898,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Brouwersgracht,1013 HD
