Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,street_name
AMS-0674 Laadplein,5I Jan van Riebeekstraat 1057 ZW,52.37067,4.858594,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Jan van Riebeekstraat
AMS-2434,33 Purmerplein 1023 BC,52.39116,4.944954,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Purmerplein
AMS-2549,14I Prins Hendriklaan 1075 BB,52.35441,4.864072,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Prins Hendriklaan
AMS-2177,267 Arent Janszoon Ernststraat 1083 JN,52.33181,4.881166,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Arent Janszoon Ernststraat
AMS-1565,140 Galjootstraat 1086 VE,52.36366,4.988803,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Galjootstraat
AMS-0567,49B Rozenstraat 1016 NN,52.37285,4.881549,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Rozenstraat
AMS-1352,31II Olympiakade 1076 XS,52.34935,4.861334,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Olympiakade
AMS-2376,38HS Maarten Harpertszoon Trompstraat 1056 JC,52.37183,4.862227,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Maarten Harpertszoon Trompstraat
AMS-2508,60I Juliana van Stolbergstraat 1055 RN,52.38093,4.856107,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Juliana van Stolbergstraat
AMS-1272,254II Westerstraat 1015 MT,52.37833,4.88326,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Westerstraat
AMS-4677,42II Lucellestraat 1055 JA,52.38003,4.849262,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Lucellestraat
AMS-1126,33HS Eisingastraat 1097 GR,52.34666,4.936439,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Eisingastraat
AMS-2170,8 Sportparklaan 1062 XK,52.34402,4.839352,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Sportparklaan
AMS-0982,108 's-Gravesandestraat 1091 DG,52.36051,4.915548,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,'s-Gravesandestraat
AMS-2561,5 Treilerhof 1034 CA,52.40689,4.911538,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Treilerhof
AMS-3470,8III Adriaan van Bergenstraat 1056 JW,52.37234,4.863898,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Adriaan van Bergenstraat
